index,Rótulos de Linha,cleaned_text,Contagem de Publication Number
0,Alternative Gene Expression S.l.,ALTERNATIVE_GENE_EXPRESSION_S.L.,1
1,"Alves De Souza Lima Acácio,BR",ALVES_DE_SOUZA_LIMA_ACACIO,1
2,"ANTONIO CARLOS MARTINS DE CAMARGO,BR",ANTONIO_CARLOS_MARTINS_DE_CAMARGO,1
3,"CAO GROUP INC.,US",CAO_GROUP_INC.,1
4,"CÉLIO RAIMUNDO MACHADO,BR | ROSANGELA ZACARIAS MACHADO,BR",CELIO_RAIMUNDO_MACHADO,1
5,"CELLORYX AG,CH",CELLORYX_AG,1
6,"CENTRO DE INMUNOLOGIA MOLECULAR,CU",CENTRO_DE_INMUNOLOGIA_MOLECULAR,2
7,"Chudzinski-Tavassi Ana Marisa,BR | Fundacao de Amparo a Pesquisa do Estado de Sao Paulo - FAPESP,BR | Uniao Quimica Farmaceutica Nacional S/A,BR",CHUDZINSKI_TAVASSI_ANA_MARISA,2
8,"Coinfair-Consórcio De Indústrias Farmacêuticas,São Paulo,BR | Maria Durvanei Augusto,São Paulo,BR | Chudzinski-Tavassi Ana Marisa,São Paulo,BR | Correia Batista Isabel De Fatima,São Paulo,BR | Ho Paulo Lee,São Paulo,BR",COINFAIR_CONSORCIO_DE_INDUSTRIAS_FARMACEUTICAS,1
9,"Comissão Nacional De Energia Nuclear,BR",COMISSAO_NACIONAL_DE_ENERGIA_NUCLEAR,2
10,"EBERT SEIXAS Hanna,BR",EBERT_SEIXAS_HANNA,2
11,"EBERT SEIXAS HANNA,BR | INVENT BIOTECNOLOGIA LTDA BR SP,BR | UNIV SAO PAULO USP BR SP,BR",EBERT_SEIXAS_HANNA,1
12,"Ebert Seixas Hanna,CEP: 14010-090 Ribeirão Preto,BR,101295769 | INVENT BIOTECNOLOGIA LTDA (BR/SP),14040-900 Ribeirão Preto, SP,BR,101365578 | UNIVERSIDADE DE SÃO PAULO - USP (BR/SP),14049-900, Ribeirão Preto, SP,BR,101365579",EBERT_SEIXAS_HANNA,1
13,"ECOLVET LABORATÓRIO DE ANÁLISES AMBIENTAIS E VET. LTDA - EPP,BR",ECOLVET_LABORATORIO_DE_ANALISES_AMBIENTAIS_E_VET._LTDA___EPP,1
14,"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA EMBRAPA,BR | FUNDACAO UNIV DE BRASILIA,BR | UNIAO BRASILEIRA DE EDUCACAO CATOLICA UBEC,BR | UNIAO BRASILIENSE DE EDUCACAO E CULTURA UBEC,BR",EMPRESA_BRASILEIRA_DE_PESQUISA_AGROPECUARIA_EMBRAPA,1
15,"F. HOFFMANN-LA ROCHE AG,CH",F._HOFFMANN_LA_ROCHE_AG,1
16,"FERRAZ DE CAMPOS Sharon Lisauskas,BR",FERRAZ_DE_CAMPOS_SHARON_LISAUSKAS,1
17,FINEP-FINANCIADORA DE ESTUDOS E PROJETOS | ESCOLA PAULISTA DE MEDICINA | CARDOSO DE ALMEIDA Maria Lucia | AMARAL DE CASTILHO VALAVICIUS Beatriz | GOMES DE AMORIM FILHO Antonio,FINEP_FINANCIADORA_DE_ESTUDOS_E_PROJETOS_|_ESCOLA_PAULISTA_DE_MEDICINA_|_CARDOSO_DE_ALMEIDA_MARIA_LUCIA_|_AMARAL_DE_CASTILHO_VALAVICIUS_BEATRIZ_|_GOMES_DE_AMORIM_FILHO_ANTONIO,1
18,"FIOCRUZ FUNDACAO CRUZ OSWALDO,JP",FIOCRUZ_FUNDACAO_CRUZ_OSWALDO,1
19,"FLEURY S A,BR | HOSPITAL DO CÂNCER DE BARRETOS - FUNDAÇÃO PIO XII,BR | UNIV FED DO MARANHÃO,BR | SANTOS MARCOS TADEU DOS,BR | VIDAL RAMON OLIVEIRA,BR",FLEURY_S_A,1
20,"FLEURY S/A,BR",FLEURY_S/A,1
21,"FLEURY S/A,BR | HOSPITAL DO CÂNCER DE BARRETOS - FUNDAÇÃO PIO XII,BR | MARCOS TADEU DOS SANTOS,BR | RAMON DE OLIVEIRA VIDAL,BR | UNIVERSIDADE FEDERAL DO MARANHÃO,BR",FLEURY_S/A,1
22,"FLEURY S/A,BR | HOSPITAL DO CÂNCER DE BARRETOS - FUNDAÇÃO PIO XII,BR | SANTOS Marcos Tadeu dos,BR | VIDAL Ramon Oliveira,BR | UNIVERSIDADE FEDERAL DO MARANHÃO,BR",FLEURY_S/A,1
23,"Fleury S/A,CEP-04344-070 São Paulo, SP,BR,101811439 | Hospital do Câncer de Barretos - Fundação Pio XII,CEP-14784-440 Barretos, SP,BR,101621531 | Universidade Federal do Maranhão,CEP-65080-805 São Luis, MA,BR,101621533 | Santos Marcos Tadeu dos,CEP-04310-001 São Paulo, SP,BR,101666842 | Vidal Ramon Oliveira,CEP-45604-006 Itabuna, BA,BR,101666844",FLEURY_S/A,1
24,"Fleury S/A,Sao Paulo,BR | Hospital Do Cancer Barretos- Fundacao Pio XII,Barretos,BR | Universidade Federal Do Maranhao,Sao Luis,BR | SANTOS Marcos Tadeu dos,Sao Paulo,BR | VIDAL Ramon Oliveira,Itabuna,BR | SOUZA Bruno Feres de,Sao Luiz,BR | CARCANO Flavio Mavignier,Barretos,BR | NETO Cristovam Scapulatempo,Barretos,BR | VIANA Cristiano Ribeiro,Barretos,BR | CARVALHO Andre Lopes,Barretos,BR",FLEURY_S/A,1
25,"FOUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,Belo Horizonte - MG,BR | UNIVERSIDADE FEDERAL DE VIÇOSA,Viçosa, MG,BR",FOUNDACAO_DE_AMPARO_A_PESQUISA_DO_ESTADO_DE_MINAS_GERAIS___FAPEMIG,1
26,FUND AMPARO PESQUISA ESTADO MINAS GERAIS FAPEMIG | UNIV FEDERAL VICOSA,FUND_AMPARO_PESQUISA_ESTADO_MINAS_GERAIS_FAPEMIG_|_UNIV_FEDERAL_VICOSA,1
27,"FUND AMPARO PESQUISA ESTADO MINAS GERAIS FAPEMIG,BR | UNIV FEDERAL DE UBERLANDIA,BR",FUND_AMPARO_PESQUISA_ESTADO_MINAS_GERAIS_FAPEMIG,1
28,"FUNDAÇ O DE AMPARO PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,BR | UNIV FED DE VIÇOSA,BR | ФУНДАСАН ДИ-АМПАРО А ПЕСКИЗА ДУ-ЭСТАДУ ДИ-МИНАС ЖЕРАЙС-ФАПЕМИГ,BR | УНИВЕРСИДАДИ ФЕДЕРАЛ ДИ-ВИСОЗА,BR",FUNDAC_O_DE_AMPARO_PESQUISA_DO_ESTADO_DE_MINAS_GERAIS_FAPEMIG,1
29,FUNDAÇ O OSWALDO CRUZ,FUNDAC_O_OSWALDO_CRUZ,1
30,"Fundação Butantã,BR",FUNDACAO_BUTANTAN,1
31,FUNDACAO BUTANTAN,FUNDACAO_BUTANTAN,1
32,"FUNDACAO BUTANTAN,BR",FUNDACAO_BUTANTAN,1
33,"FUNDAÇÃO BUTANTAN,BR",FUNDACAO_BUTANTAN,7
34,"FUNDAÇÃO BUTANTAN,BR | Hospital Alemão Oswaldo Cruz,BR",FUNDACAO_BUTANTAN,1
35,"Fundacao Butantan,BR | 布坦坦基金会,BR",FUNDACAO_BUTANTAN,1
36,"Fundação Butantan,São Paulo 05503-900 SP,BR,101307993",FUNDACAO_BUTANTAN,1
37,"FUNDACAO BUTANTAN,Sao Paulo,BR",FUNDACAO_BUTANTAN,1
38,"FUNDAÇÃO DE AMPARA À PESQUISA DO ESTADO DE SÃO PAULO-FAPESP,BR",FUNDACAO_DE_AMPARA_A_PESQUISA_DO_ESTADO_DE_SAO_PAULO_FAPESP,1
39,"FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MG-FAPEMIG,Belo Horizonte, MG,BR | UNIVERSIDADE FEDERAL DE VIÇOSA,Viçosa, MG,BR | FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS-FAPEMIG,Bairro São Pedro, Belo Horizonte,BR | UNIVERSIDADE FEDERAL DE VIÇOSA,Viçosa,BR",FUNDACAO_DE_AMPARO_A_PESQUISA_DO_ESTADO_DE_MG_FAPEMIG,1
